"MBJT94530819ST"	"MBJT26681707ST"	"MBJT19739988ST"	"MBJT47759212ST"	"MBJT40435704ST"	"MBJT40707177ST"	"MBJT75354344ST"	"MBJT24770375ST"	"MBJT44556531ST"	"MBJT47974019ST"	"MBJT83133832ST"	"MBJT97792954ST"	"MBJT41854002ST"	"MBJT23133014ST"	"MBJT35001732ST"	"MBJT59111766ST"	"MBJT13029530ST"	"MBJT76001019ST"	"MBJT34036667ST"	"MBJT82870648ST"	"MBJT64178099ST"	"MBJT66677231ST"	"MBJT46290466ST"	"MBJT54773511ST"	"MBJT90536787ST"	"MBJT54598736ST"	"MBJT85948313ST"	"MBJT73621698ST"	"MBJT83294902ST"	"MBJT19172978ST"	"MBJT93071877ST"	"MBJT40701160ST"	"MBJT40306752ST"	"MBJT92561737ST"	"MBJT24417068ST"	"MBJT14741058ST"	"MBJT22320456ST"	"MBJT75856433ST"	"MBJT28436807ST"	"MBJT65314632ST"	"MBJT64323881ST"	"MBJT55763017ST"	"MBJT35058600ST"	"MBJT61989978ST"	"MBJT58818096ST"	"MBJT89319187ST"	"MBJT61614909ST"	"MBJT77767153ST"	"MBJT22022613ST"	"MBJT57869938ST"	"MBJT42733650ST"	"MBJT42917972ST"	"MBJT79123647ST"	"MBJT32951253ST"	"MBJT71206045ST"	"MBJT47376024ST"	"MBJT87587928ST"	"MBJT24075712ST"	"MBJT25397146ST"	"MBJT63497322ST"	"MBJT85450199ST"	"MBJT41036209ST"	"MBJT55041082ST"	"MBJT34220088ST"	"MBJT28723736ST"	"MBJT54042978ST"	"MBJT92636570ST"	"MBJT69789353ST"	"MBJT18793872ST"	"MBJT47281689ST"	"MBJT30331144ST"	"MBJT56486370ST"	"MBJT73212715ST"	"MBJT13966914ST"	"MBJT35016775ST"	"MBJT10257157ST"
"Clostridiales species  [m_12254]"	0	0	0	0	0.0914494353400696	0	0	0	0	0	0	0	0	0.0115205555117178	0	0.0441028225806452	0	0.000284711018316409	0	0	0.0174371451743715	0.00353052613450443	0.00374284456186702	0	0.016566265060241	0	0	0.0420238095238095	0.0106819162710401	0	0	0	0.000398787685436274	0.0147579183567791	0.00922685332484887	0	0	0	0	0	0	0	0	0.0135526764405046	0	0	0.000136986301369863	0	0	0	0.00496277915632754	0	0	0.000663845324039499	0	0	0.000176850296224246	0.00971932956461371	0	0.0022927366104182	0	0	0.00205912634210913	0	0	0.0152258501099645	0	0	0.00932348773029015	0.000620989443179466	0	0	0	0	0.000174978127734033	0
"Clostridiales species  [m_12256]"	0	0.000221778664892437	0	0	0	0	0.000841928015154704	0	0	0	0	0	0	0.000631263315710566	0	8.4005376344086e-05	0	0	0	0.00166112956810631	0.000608272506082725	0	0.000110083663584324	0	0.000167336010709505	0	0	0	0	0.000238180302488984	0.00128921357971637	0	0	0.000345214464486062	0.000238625517021954	0.000702148574638393	0	0	0	0	0	0	0	0	0	0	0	0	0.00464961806708735	0	9.92555831265509e-05	0	0	0	0	9.31705953601043e-05	0	0	0.00956498951781971	0.000366837857666911	0	0	0	0	0	0	0	0	7.45879018423212e-05	0	0	0	0	0	0	0
"Clostridiales species  [m_12265]"	0.0605860321656753	0	0	0.0294943820224719	0.0050097647957884	0	0.0557777310039992	0	0	0.00361471401233255	0	9.14996797511209e-05	0	0	0	0.00579637096774194	0.000811322455602632	0	0	0.0580604334757159	0.00202757502027575	0.00137776629639197	0	0	0.00209170013386881	0.056959219858156	0.00423649030314442	0.00357142857142857	0	0	0	0.00419287211740042	0.00295102887222843	0	0.000954502068087814	0	0	0	0.00436494351249572	0	0	0	0	0.00298329355608592	0.0536420101637493	0	0	0.000180212650928095	0.000996346728661574	0.00254999328949134	9.92555831265509e-05	0	0	0	0.0181383825871527	0	0.00857723936687594	0.00664484776356243	0	0	0.00342551591611663	0.00629486471562673	0.0110310339755846	0	0	0.00270681779732702	0.00291356426027841	0.0170864307111949	0.0328186768106213	0	0	0	0.0201409869083585	0	0	0
"Clostridiales species  [m_12272]"	0	0	0	0	0.00263224929948204	0	0.000315723005683014	0	0	0	0	0	0	0.00718062021620769	0	0	0.000270440818534211	0	0	0	0	8.61103935244984e-05	0.000110083663584324	0	0.000585676037483266	0	0	0.00410714285714286	0.00205006473888649	0	0	0.0032101677148847	0.00127612059339608	0.000690428928972124	0.000159083678014636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377171215880893	0	0	0.000746825989544436	0	0	0.00548235918295163	0	0	0.00522743947175348	0	0	0.00397117223121047	0	0	0.000253764168499408	0.0086327829934175	0	0.0154396956813605	0	0	0	0	0	0	0
"Clostridiales species  [m_12277]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.29806655049374e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales species  [m_12284]"	0	0	0.00376344086021505	0	0.000254733803175681	0	0.00894548516101873	0	0	0	0	0.0107969622106323	0.00388063695972166	0.000315631657855283	0.00764938804895608	0.000588037634408602	0.00297484900387632	0.000569422036632818	0	0.00237304224015187	0.000101378751013788	0.00103332472229398	0.000330250990752972	0.00106599476693478	0.00284471218206158	0.00908687943262411	0.0310675955563924	0	0.000755287009063444	0.0100035727045373	0.0320154705629566	0.00170335429769392	0.000558302759610783	0.0461724346250108	7.95418390073178e-05	0.00961943547254599	0	0	0.00607668606641561	0	0	0	0.00551232166018158	0	0.000451722190852626	0	0.0123287671232877	0.0169399891872409	0.00143916749695561	0	0.00129032258064516	0.000110326566637246	0.00165511534085032	0.00647249190938511	8.84799150592815e-05	0.0111804714432125	0.0160933769564064	0.021323018942775	0	0.00119222303741746	0.00100259002422926	0	0.00191204588910134	0	0	0.00177634917949586	0	0.00188616442915788	0.000149175803684642	0	0	0.00393733081781642	0	0	0	0
"Clostridiales species  [m_12287]"	0	0	0	0	0	0	0	0	0	0	0	0	0	7.89079144638207e-05	0	0	9.01469395114036e-05	0	0	0	0	0	0	0	0	0	9.41442289587648e-05	0	0.000107898144151921	0.000238180302488984	0	0	0	8.63036161215155e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000684931506849315	0	0	0	0	0	0	8.29806655049374e-05	0	0	0.000176850296224246	0	0	0	0	0	0	0	0	0	0.00161864681126578	0	0	0	0	0	0.000167841557569654	0	0	0
"Clostridiales species  [m_12288]"	0.0426305353602115	0	0.00193548387096774	0.00716292134831461	0	0	0.0320985055777731	0	0	0.000425260472039124	0.00208154769193094	0.000274499039253363	0.00120433560818948	0	0	0.000168010752688172	0.000360587758045614	0.00142355509158204	0	0.013921847808891	0.000101378751013788	0.000172220787048997	0	0	0.000167336010709505	0.0032136524822695	0.0018828845791753	0.000714285714285714	0.000215796288303841	0.00476360604977968	0.00558659217877095	0.00203092243186583	0.000319030148349019	0	0.000159083678014636	0	0	0	0.000855871276959945	0	0	0	0.00572849113705145	0.000255710876235936	0.0018068887634105	0	0	0	0	0.000268420346262247	9.92555831265509e-05	0	0	0.000331922662019749	0	0.000186341190720209	8.84251481121231e-05	0.0016860061489636	0	0.000183418928833456	0	0.00364439536167863	0.000147080453007795	0.00403836446239273	0	0	0.00302147404769613	0.00388327970708976	0	0.000310494721589733	0	8.20277253711755e-05	0.00218194024840551	0	0.0277340332458443	0
"Clostridiales species  [m_12298]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107898144151921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121151771637209	0	0	0	0	0	0	0	0	0	0	0	0	0.0236322434444804	0	0	0	0	0	0	0	0	0
"Clostridiales species  [m_12300]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000168010752688172	9.01469395114036e-05	0	0	0	0	0	0	0	0.000502008032128514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales species  [m_12301]"	0	0.000221778664892437	0.0134408602150538	0	0.0050097647957884	0.000190949016612564	0.0108398231951168	0	0	0.000425260472039124	0	0.000731997438008967	0.000802890405459655	0.00276177700623373	0	0.000168010752688172	0.00279455512485351	0	0.00406834825061025	0.000870115488055687	0.00233171127331711	0.000947214328769482	0.0027520915896081	0	0.00326305220883534	0.00232712765957447	0.00753153831670119	0.00202380952380952	0.0042080276219249	0.00250089317613433	0	0	0.00319030148349019	0.000690428928972124	0.000715876551065861	0.00842578289566072	0	0	0.000256761383087984	0	0	0	0.00540423692174665	0.000170473917490624	0	0	0.0101369863013699	0.000810956929176428	0.00110705192073508	0.000134210173131123	0.00277915632754342	0	0	0.00315326528918762	0.00291983719695629	0.00130438833504146	0.00247590414713945	0.00257859763959139	0	0.00421863536316948	0.000167098337371543	0	0.00132372407707016	0.01110550227158	0	0.00236846557266114	0.000431639149670875	0.000776655941417952	0.00410233460132766	0.000206996481059822	0.000237925291458482	0.00205069313427939	0	0	0.000437445319335083	0
"Clostridiales species  [m_12304]"	0	0	0	0	0.000169822535450454	0	0	0	0	0	0	0	0	0.000236723743391462	0	0	0	0	0	0	0	0	0.00561426684280053	0	0	0.000554078014184397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000694789081885856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000596703214738569	0	0	0	0	0	0	0
"Clostridiales species  [m_12307]"	0	0	0	0	0.000339645070900909	0	0	0	0	0	0	0	0	0.00252505326284226	0	0.000504032258064516	0.000180293879022807	0.0031318212014805	0	0	0.000304136253041363	8.61103935244984e-05	0	0	8.36680053547523e-05	0.000110815602836879	0.00018828845791753	0	0.000431592576607682	0	0	6.55136268343816e-05	0.000159515074174509	8.63036161215155e-05	0	0	0	0	0	0	0	0	0.000432338953739732	0	0	0	0	0.000180212650928095	0.000110705192073508	0	9.92555831265509e-05	0	0.000413778835212579	0.000497883993029624	0	0	8.84251481121231e-05	0.000198353664583953	0	0.000366837857666911	0	0	0	0	0	8.45880561664693e-05	0.00183446638610122	0	0	0	0	0.00262488721187761	0	0	0.00174978127734033	0
"Clostridiales species  [m_12309]"	0.0334875523243005	0	0	0.0026685393258427	0	0	0	0	0	0	0	0	0	0	0	0	0.00135220409267105	0	0	0	0.000202757502027575	0	0.000110083663584324	0	0	0	0	0	0	0	0	0	0.000159515074174509	0	0	0	0	0	8.55871276959945e-05	0	0	0	0	0.000255710876235936	0.000451722190852626	0	0	0	0	0	0.000496277915632754	0	0	0.0048958592647913	0	0.000652194167520731	0	0.00029753049687593	0	0.00192589875275128	0.00167098337371543	0.000331308669243512	0	0	0	0.00389105058365759	0	0	0.000372939509211606	0	0	0	0	0	0	0
"Clostridiales species  [m_12318]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales species  [m_12323]"	0	0	0	0.000140449438202247	0	0	0	0	0	0	0	0.00137249519626681	0.00214104108122575	0	0	0	0	0.000189807345544273	0	0.00158202816010125	0.000709651257096513	0.000344441574097994	0	0	0	0	0.000282432686876294	0	0	0	0	0.000262054507337526	0	0	0	0	0	0	0	0	0.000205380981721093	0	0.000756593169044531	0	0.00790513833992095	0	0	0	0.000110705192073508	0.000134210173131123	0	0	0	0.000165961331009875	0	0	0	0.00218189031042349	0	0	0	0	0	0	0	0	0	0	0	0	0.000356887937187723	0	0	0	0	0
"Clostridiales species  [m_12327]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000157815828927641	0	0.0133568548387097	0.0102767511043	0	0	0.000158202816010125	0	0.00731938344958236	0.00473359753412594	0	0.00225903614457831	0.0116356382978723	0.00659009602711354	0	0.00798446266724212	0	0	0.00314465408805031	0	0.0352118753775783	0.00509067769646834	0	0	0	0	0	0	0	0	0	0.000451722190852626	0	0	0.00684808073526762	0	0	0.00208436724565757	0	0	0.00174259397560368	0	0.0204043603838629	0.0129984967724821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000129954515919428	0	0.000115114538966271
"Clostridiales species  [m_12334]"	0.00011015642211941	0	0	0	0.00135858028360363	0	0	0	0	0	0	0	0	0.0161761224650832	0	0.012684811827957	0.00351573064094474	0	0	0	0	0.00051666236114699	0.000660501981505945	0	0.00142235609103079	0.0158466312056738	0.000941442289587648	0.00476190476190476	0.00561070349589987	0	0	0.00117924528301887	0.000239272611261764	0	0.000954502068087814	0	0	0	0	0	0	0	0	0.00204568700988749	0	0	0	0.00810956929176428	0	0	0.00109181141439206	0	0	0.00290432329267281	0.000353919660237126	0.000279511786080313	0.000353700592448492	0.00257859763959139	0	0	0	0	0	0	0	0	0	0	0.0170806295218916	0	0	0	0	0	0	0
"Clostridiales species  [m_12340]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00042002688172043	0	0	0	0	0	0	0.000110083663584324	0	0.018908969210174	0	0	0	0.00107898144151921	0	0	0	0	0	0.000318167356029271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109009596571322	0	0	0	0	0	0	0	0	0	0	0	0	7.45879018423212e-05	0	0	0	0	0	0.000349956255468066	0
"Clostridiales species  [m_12351]"	0	0	0	0	0.000424556338626136	0	0.000841928015154704	0	0	0	0	0	0	0.000394539572319104	0	8.4005376344086e-05	0	0.00113884407326564	0	0	0.000202757502027575	0	0	0	0.000418340026773762	0.000443262411347518	0.00169459612125777	0	0.000323694432455762	0	0	0.000720649895178197	0.000319030148349019	0	0	0	0	0	0	0	0	0	0.000216169476869866	0	0	0	0	0	0	0	0.000595533498759305	0	0	0.000414903327524687	8.84799150592815e-05	0	0.000265275444336369	0	0	0.000183418928833456	0	0	0	0	0	0.000169176112332939	0.000215819574835438	0.000110950848773993	0	0	0	0.000738249528340579	0	0	0.00131233595800525	0
"Clostridiales species  [m_12356]"	0.00011015642211941	0.00110889332446219	0.000645161290322581	0	0	0	0.00147337402652073	0	0	0	0	0.000548998078506725	0.000267630135153218	7.89079144638207e-05	0.0035097192224622	0.0042002688172043	0.00315514288289913	0.000664325709404954	0	0.000553709856035437	0.00233171127331711	0.00482218203737191	0.000440334654337296	0.000290725845527667	0.00117135207496653	0.00398936170212766	0.00536622105064959	5.95238095238095e-05	0.0036685369011653	0	0	0.000982704402515723	0.00135587813048333	0	7.95418390073178e-05	0	0	0	0.000171174255391989	0	0	0	0.000108084738434933	0.000170473917490624	0	0	0.00273972602739726	0.00162191385835286	0.000996346728661574	0	0.000198511166253102	0.000110326566637246	0.000103444708803145	0.000248941996514812	0.000265439745177845	9.31705953601043e-05	8.84251481121231e-05	0.0012892988197957	0	0.00082538517975055	0	0.000110436223081171	0.000588321812031181	0	0.000461751577651224	0.00126882084249704	0.000107909787417719	0.000443803395095972	0	0.000517491202649555	0	0	0	0	0.000612423447069116	0
"Clostridiales species  [m_12361]"	0.000660938532716457	0.0180749611887336	0	0	0.00331153944128386	0	0.0044201220795622	0	0	0.000318945354029343	0	0.00796047213834752	0.000936705473036264	0.000236723743391462	0.00125989920806335	0.000252016129032258	0.00324528982241053	0	0	7.91014080050625e-05	0.0016220600162206	0.00318608456040644	0.00110083663584324	0	0.00100401606425703	0.00132978723404255	0	0.000119047619047619	0.00809236081139404	0.00190544241991187	0	0.000458595387840671	0.00279151379805392	0.00293432294813153	0.000477251034043907	0	0	0	0.0016261554262239	0	0.00523721503388786	0	0	0	0	0	0	0.00468552892413047	0	0	0.00158808933002481	0.00375110326566637	0.00465501189614151	0.00107874865156419	0.000973279065652097	0.021429236932824	0	0.00287612813646732	0	0.00110051357300073	0	0	0.00117664362406236	0	0	0	0.00485594043379735	0	0	0	0.00118962645729241	0	0	0	0	0
"Clostridiales species  [m_12371]"	0	0	0	0	0.000169822535450454	0	0.000841928015154704	0	0	0	0	0	0	0	0	0	9.01469395114036e-05	9.49036727721363e-05	0	0	0.000101378751013788	0	0	0	8.36680053547523e-05	0	0.000470721144793824	0	0.000863185153215365	0	0	6.55136268343816e-05	0.000159515074174509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.92555831265509e-05	0.000110326566637246	0	0.000248941996514812	0	0	0.000265275444336369	0	0	0.000275128393250183	0	0	0	0	0	0	0.00712204596956944	0	0	0	0	0.000410138626855877	0	0	0.000874890638670166	0
"Clostridiales species  [m_12382]"	0	0	0	0	0.00747219155981999	0	0	0	0	0	0	0	0	0.000710171230174386	0	0	0	0	0	0.000474608448030375	0	0.000172220787048997	0.000330250990752972	0	0	0	0	0.000476190476190476	0	0	0	6.55136268343816e-05	0.000478545222523529	0.000258910848364546	7.95418390073178e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000450531627320238	0	0	0	0	0	0	0	0	0	9.91768322919766e-05	0	0	0	0	0.000147080453007795	0	0	0	0	0	7.45879018423212e-05	0	0	0	0	0	0	0
"Clostridiales species  [m_12386]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0281614156236513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales species  [m_12388]"	0	0	0	0	0.000679290141801817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales species  [m_12390]"	0	0	0	0	0.000169822535450454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000474608448030375	0	0	0	0	0	0	0	0	0.00161847216227881	0	0	0.00117924528301887	0	0	7.95418390073178e-05	0	0	0	0	0	0	0	0	0.00511421752471872	0	0	0	0	0	0	0	0	0	0.000580864658534561	0	0	0	0.000198353664583953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales species  [m_12401]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales species  [m_12404]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00166726211742289	0	0	0	0	0	0	0	0	0	0	0	0	0.00216169476869866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00612423447069116	0
"Clostridiales species  [m_12411]"	0.00011015642211941	0	0.00010752688172043	0.000140449438202247	0	0	0.00568301410229425	0	0	0.000106315118009781	0	0	0.000133815067576609	0.00134143454588495	0.000899928005759539	0.00142809139784946	0.00333543676192193	0.000189807345544273	0	0.0018984337921215	0	0	0.00330250990752972	0	0.00443440428380187	0.000554078014184397	0.00141216343438147	0.000119047619047619	0.00388433318946914	0.000238180302488984	0.000429737859905458	6.55136268343816e-05	0.0105279948955176	0	0.00278396436525612	0	0	0	0	0	0.000205380981721093	0	0	0.00221616092737811	0.000112930547713156	0	0.00205479452054795	0	0	0	0	0	0.000206889417606289	8.29806655049374e-05	0	0	0.00318330533203643	9.91768322919766e-05	0	0	0	0	0	0.000757193336698637	0	0	0	0.000221901697547986	0	0	0.000356887937187723	0	0	0	0	0
"Clostridiales species  [m_12425]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000220167327168648	0	8.36680053547523e-05	0	0	0	0	0	0	0	0	0	0.000556792873051225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00124470998257406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales species  [m_12426]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000431592576607682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000164055450742351	0	0	0	0
"Clostridiales species  [m_12434]"	0	0	0	0	0.000254733803175681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000134210173131123	9.92555831265509e-05	0	0	0	0	0	0	0	0	0	0.00150388503634389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales species  [m_12435]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales species  [m_12437]"	0.00011015642211941	0	0	0	8.49112677252271e-05	0	0	0	0	0	0	0	0	0.00867987059102028	0.000179985601151908	0	0.00216352654827369	9.49036727721363e-05	0	0	0.00172343876723439	0.00111943511581848	0.000330250990752972	0	0	0	9.41442289587648e-05	0.00422619047619048	0.000107898144151921	0	0	0.000131027253668763	0.000239272611261764	8.63036161215155e-05	0.000159083678014636	0	0	0	0	0	0	0	0	8.5236958745312e-05	0	0	0	0	0.000110705192073508	0.000134210173131123	9.92555831265509e-05	0.0073918799646955	0	0.00248941996514812	0.00787471244027606	0	0.00875408966310019	0	0	9.17094644167278e-05	0	0	0.000294160906015591	0	0	0	0	0	0.000223763705526964	0	0	8.20277253711755e-05	0	0	8.74890638670166e-05	0
"Clostridiales species  [m_12445]"	0	0	0.00010752688172043	0	0.000339645070900909	0	0.000105241001894338	0	0	0	0	9.14996797511209e-05	0	7.89079144638207e-05	0	0	0.000180293879022807	0.000284711018316409	0	0.000474608448030375	0.000202757502027575	8.61103935244984e-05	0	0	0.000334672021419009	0.000110815602836879	9.41442289587648e-05	0	0.000107898144151921	0	0.000107434464976364	0.000196540880503145	0.000159515074174509	8.63036161215155e-05	7.95418390073178e-05	0.00217666058137902	0	0	0	0	0	0.000793755787802619	0.000108084738434933	0.000255710876235936	0	0	0	0	0.000221410384147017	0	0.000297766749379653	0	0.000103444708803145	0.000165961331009875	0	0	0.000176850296224246	0	0.000131027253668763	9.17094644167278e-05	0	0.000220872446162341	0.000147080453007795	0.000126198889449773	0	0.000422940280832346	0.000215819574835438	0.000221901697547986	7.45879018423212e-05	0	0	8.20277253711755e-05	0	0	0.000349956255468066	0
"Clostridiales species  [m_12447]"	0	0	0.00010752688172043	0	0.000169822535450454	0	0.00105241001894338	0	0	0	0	0	0	0	0	0.00151209677419355	0	0	0	0	0.000202757502027575	0	0.000220167327168648	0	0.000167336010709505	0	0	0.00148809523809524	0.00291324989210186	0	0	0.000131027253668763	0	0.000431518080607577	0.000397709195036589	0.0026681645836259	0	0	0	0	0	0	0	8.5236958745312e-05	0	0	0	0.00135159488196071	0	0	0.00218362282878412	0	0	0.00381711061322712	0	0.00447218857728501	0	0	0	9.17094644167278e-05	0	0	0.000294160906015591	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridiales species  [m_12452]"	0	0	0	0	0.000169822535450454	0	0.0125236792254262	0	0	0	0	9.14996797511209e-05	0	0	0	0.00151209677419355	0	0.0221125557559078	0	0.0232558139534884	0.00415652879156529	0.00129165590286748	0.00132100396301189	0	0.00435073627844712	0	0	0.00327380952380952	0.00161847216227881	0	0	0.000458595387840671	0	0	0.00198854597518295	0	0	0	0	0	0	0	0	0.000170473917490624	0	0	0	0	0	0	0.0201488833746898	0	0	0.0354327441706082	0.0121217483631216	0	0.00433283225749403	0	0	0	0	0	0	0	0	0.00245305362882761	0.00183446638610122	0.000887606790191945	7.45879018423212e-05	0	0	0	0	0	0	0
"Clostridiales species  [m_12458]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000290725845527667	0	0	0	0	0	0.00309634393235679	0.000859475719810915	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00237154150197628	0	0.000136986301369863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000221901697547986	0	0	0	0.00492166352227053	0	0	0.000437445319335083	0
"Clostridiales species  [m_12463]"	0	0	0.0183870967741935	0	0.00297189437038295	0	0.00799831614396969	0	0	0	0	0	0.000401445202729827	0.00126252663142113	0	0.0164650537634409	0	0	0.000116238521446007	0.00814744502452144	0.000608272506082725	0.000602772754671489	0.00165125495376486	0	0.0127175368139224	0.0196143617021277	0.0105441536433817	0.00470238095238095	0.00194216659473457	0	0	0.0241745283018868	0.00470569468814803	0	0.0053293032134903	0	0	0	0	0	0	0	0	0.00775656324582339	0	0	0	9.01063254640476e-05	0	0	0.0153846153846154	0	0	0.00390009127873206	0.00318527694213414	0.00242243547936271	0.00185692811035458	0	0	9.17094644167278e-05	0.000334196674743086	0	0.0119135166936314	0	0	0	0.00118700766159491	0	0.000223763705526964	0.00134547712688884	0	0	0	0	0	0
"Clostridiales species  [m_12470]"	0	0	0	0	0	0	0	0	0	0.000106315118009781	0	0.00256199103303138	0	0	0	0	0	0	0	0	0.000304136253041363	0	0.000220167327168648	0	0.000251004016064257	0	0	0.000178571428571429	0.00269745360379801	0	0	0	0	0.000431518080607577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00040263051939337	0.00456575682382134	0	0	0	0.000176959830118563	0.0106214478710519	0.00106110177734548	0	0	9.17094644167278e-05	0	0	0	0	0	0.00101505667399763	0	0	0	0	0	0	0	0	0	0
"Clostridiales species  [m_12473]"	0.00011015642211941	0.000110889332446219	0.00010752688172043	0	0	0	0	0	0.000150511739915713	0	0	9.14996797511209e-05	0	0	0	0	0	0	0.00127862373590608	0.000395507040025312	0	0	0	0	0	0.000110815602836879	0.000470721144793824	5.95238095238095e-05	0	0.00107181136120043	0	0	0	0	0	0.0016149417216683	0	0	0.000770284149263951	0	0	0.00238126736340786	0.0012970168612192	0	0.00135516657255788	0	0.00150684931506849	0	0.000442820768294033	0	0	0.00330979699911739	0	0	0.000353919660237126	0	0	0	0	0	8.35491686857716e-05	0	0	0	0	0.000507528336998816	0	0.000443803395095972	0	0	0	0.000246083176113526	0	0	0.00489938757655293	0
"Clostridiales species  [m_12475]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000357270453733476	0	0	0	0	0	0	0	0	8.55871276959945e-05	0	0	0	0	0.00042618479372656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000253764168499408	0	0	0	0	0	0	0	0	0	0
